doc_id,title,year,source,abstract,text,doi,url,api,query,keyword_hits
10.1101/2025.06.25.660685,"Interoception vs. Exteroception: Cardiac interoception competes with tactile perception, yet also facilitates self-relevance encoding",2025.0,crossref,"Internal bodily signals, notably the heartbeat, influence our perception of the external world – but the nature of this influence remains unclear. Different frameworks, originating in opposing views of the function of interoception, have developed largely in parallel. One line of evidence (Internal/External Competition) indicates that interoceptive and exteroceptive inputs compete for neural resources. Another line (Self-related Facilitation) shows a link between interoceptive and self-related processing, which might include computing the self-relevance of exteroceptive inputs. We contrasted these accounts within a single experimental task for which they yielded distinct predictions. We measured heartbeat-evoked potentials (HEPs, a measure of cardiac interoception) with EEG, and manipulated the self-relevance of an audio-tactile stimulus by placing the audio source either inside or outside the peripersonal space immediately around the body. On one hand, pre-stimulus HEP amplitudes over somatosensory cortex were linked to slower reaction times, and affected audio-tactile stimulus-evoked responses in the same area, indicating competition for shared neural resources. On the other hand, pre-stimulus HEPs over integrative sensorimotor and default-mode network regions facilitated stimulus self-relevance encoding, both in reaction times and audio-tactile evoked responses. Importantly, Competition and Facilitation effects were spatially and statistically independent from each other. We therefore reconcile the two views by showing the co-existence of two independent mechanisms: one that allocates neural resources to either internal bodily signals or the external world, and another by which interoception and exteroception are combined to determine the self-relevance of external signals. Our results highlight the multi-dimensionality of HEPs, and of internal states more generally. Significance Statement Do internal bodily signals distract us from the external world (Internal/External Competition account)? Or do internal signals contribute to conscious perception, by situating the perceived external world relative to the organism (Self-related Facilitation account)? So far, both accounts – reflecting fundamentally different views of brain-body interactions – received experimental support, but have never been compared directly. We measured neural responses to heartbeats, and tested how they influenced perception in an audio-tactile reaction time task where self-relevance was manipulated. We found evidence for both accounts, reflecting independent mechanisms in distinct brain regions. Our results reconcile two hitherto independent and seemingly contradictory research programmes on the relationship between interoception and exteroception. They further highlight the multi-dimensionality of cardiac-brain interactions, and hence of internal state.","Internal bodily signals, notably the heartbeat, influence our perception of the external world – but the nature of this influence remains unclear. Different frameworks, originating in opposing views of the function of interoception, have developed largely in parallel. One line of evidence (Internal/External Competition) indicates that interoceptive and exteroceptive inputs compete for neural resources. Another line (Self-related Facilitation) shows a link between interoceptive and self-related processing, which might include computing the self-relevance of exteroceptive inputs. We contrasted these accounts within a single experimental task for which they yielded distinct predictions. We measured heartbeat-evoked potentials (HEPs, a measure of cardiac interoception) with EEG, and manipulated the self-relevance of an audio-tactile stimulus by placing the audio source either inside or outside the peripersonal space immediately around the body. On one hand, pre-stimulus HEP amplitudes over somatosensory cortex were linked to slower reaction times, and affected audio-tactile stimulus-evoked responses in the same area, indicating competition for shared neural resources. On the other hand, pre-stimulus HEPs over integrative sensorimotor and default-mode network regions facilitated stimulus self-relevance encoding, both in reaction times and audio-tactile evoked responses. Importantly, Competition and Facilitation effects were spatially and statistically independent from each other. We therefore reconcile the two views by showing the co-existence of two independent mechanisms: one that allocates neural resources to either internal bodily signals or the external world, and another by which interoception and exteroception are combined to determine the self-relevance of external signals. Our results highlight the multi-dimensionality of HEPs, and of internal states more generally. Significance Statement Do internal bodily signals distract us from the external world (Internal/External Competition account)? Or do internal signals contribute to conscious perception, by situating the perceived external world relative to the organism (Self-related Facilitation account)? So far, both accounts – reflecting fundamentally different views of brain-body interactions – received experimental support, but have never been compared directly. We measured neural responses to heartbeats, and tested how they influenced perception in an audio-tactile reaction time task where self-relevance was manipulated. We found evidence for both accounts, reflecting independent mechanisms in distinct brain regions. Our results reconcile two hitherto independent and seemingly contradictory research programmes on the relationship between interoception and exteroception. They further highlight the multi-dimensionality of cardiac-brain interactions, and hence of internal state.",10.1101/2025.06.25.660685,https://doi.org/10.1101/2025.06.25.660685,crossref,interoception,5
10.31234/osf.io/3k5fz,Novel Parent Survey Measures Sensory Behaviors Incorporating Sensory Modality and Stimulus Intensity,2024.0,crossref,"Objective: Sensory behaviors are common clinically relevant features of many neurodevelopmental disorders including Autism. However, existing assessments critically lack granularity in evaluating hypersensitivity and hyposensitivity, particularly in relation to stimulus intensity. We address this gap by developing the Sensory Response Questionnaire Phenotyper (SRQP), a parent questionnaire that comprehensively assesses sensory behaviors across five sensory modalities. Here we report the development of the SRQP, validation against established tools and assessment of its effectiveness in identifying nuanced sensory processing patterns in children with Autism.Methods: A convenience sample of 317 participants (57 with Autism, 260 typically developing) aged 3-17 years were enrolled in a cross-sectional study. The SRQP’s psychometric properties were analyzed using classical test theory (CTT), and item response theory (IRT). Statistical tests were used to evaluate patterns of sensory processing from SRQP results.Results: Data from 271 participants were included. The SRQP demonstrated strong psychometric properties: a receiver operating characteristic (ROC) curve analysis identified 37 as the cut-off value for most accurately distinguishing between typical and atypical responses on the SRQP (sensitivity 0.75, specificity 0.79, AUC 0.87). Total but not modality-specific hyper vs hyposensitivity scores were moderately correlated (ρ = .5). Responses to high-intensity stimuli were not correlated with responses to low-intensity stimuli for auditory, visual, taste, or tactile hyposensitivity (ρ < .4).Conclusion: The SRQP is a new validated parent questionnaire to assess multi-dimensional properties of sensory behaviors. Stimulus intensity is an important parameter of sensory behaviors that should be accounted for in future models.","Objective: Sensory behaviors are common clinically relevant features of many neurodevelopmental disorders including Autism. However, existing assessments critically lack granularity in evaluating hypersensitivity and hyposensitivity, particularly in relation to stimulus intensity. We address this gap by developing the Sensory Response Questionnaire Phenotyper (SRQP), a parent questionnaire that comprehensively assesses sensory behaviors across five sensory modalities. Here we report the development of the SRQP, validation against established tools and assessment of its effectiveness in identifying nuanced sensory processing patterns in children with Autism.Methods: A convenience sample of 317 participants (57 with Autism, 260 typically developing) aged 3-17 years were enrolled in a cross-sectional study. The SRQP’s psychometric properties were analyzed using classical test theory (CTT), and item response theory (IRT). Statistical tests were used to evaluate patterns of sensory processing from SRQP results.Results: Data from 271 participants were included. The SRQP demonstrated strong psychometric properties: a receiver operating characteristic (ROC) curve analysis identified 37 as the cut-off value for most accurately distinguishing between typical and atypical responses on the SRQP (sensitivity 0.75, specificity 0.79, AUC 0.87). Total but not modality-specific hyper vs hyposensitivity scores were moderately correlated (ρ = .5). Responses to high-intensity stimuli were not correlated with responses to low-intensity stimuli for auditory, visual, taste, or tactile hyposensitivity (ρ < .4).Conclusion: The SRQP is a new validated parent questionnaire to assess multi-dimensional properties of sensory behaviors. Stimulus intensity is an important parameter of sensory behaviors that should be accounted for in future models.",10.31234/osf.io/3k5fz,https://doi.org/10.31234/osf.io/3k5fz,crossref,novel sensory modality,5
10.1093/hesc/9780197663813.003.0013,Vestibular Sensation,2024.0,Sensation & Perception,"This chapter delves into the multifaceted role of the vestibular system in sensory perception, balance, and spatial orientation. It highlights the system's evolutionary roots, showing its significance across vertebrates and its contributions to human locomotion and cognition. Spatial orientation involves three key modalities—angular motion, linear motion, and tilt perception—sensed by specialized vestibular organs such as semicircular canals and otolith organs. The chapter then explores multisensory integration, where vestibular inputs merge with visual, somatosensory, and motor signals to support dynamic perception and reflexes like the vestibulo-ocular reflex, which stabilizes vision during head motion. Vestibular system dysfunction causes symptoms such as dizziness, disorientation, and balance deficits, highlighting its vital but often unnoticed role in everyday life.","This chapter delves into the multifaceted role of the vestibular system in sensory perception, balance, and spatial orientation. It highlights the system's evolutionary roots, showing its significance across vertebrates and its contributions to human locomotion and cognition. Spatial orientation involves three key modalities—angular motion, linear motion, and tilt perception—sensed by specialized vestibular organs such as semicircular canals and otolith organs. The chapter then explores multisensory integration, where vestibular inputs merge with visual, somatosensory, and motor signals to support dynamic perception and reflexes like the vestibulo-ocular reflex, which stabilizes vision during head motion. Vestibular system dysfunction causes symptoms such as dizziness, disorientation, and balance deficits, highlighting its vital but often unnoticed role in everyday life.",10.1093/hesc/9780197663813.003.0013,https://doi.org/10.1093/hesc/9780197663813.003.0013,crossref,vestibular perception,5
10.31234/osf.io/27wxv,Modality-specific Sensory and Decisional Carryover Effects in Duration Perception,2022.0,crossref,"The brain uses recent history when forming perceptual decisions. This results in carryover effects in perception. Although separate sensory and decisional carryover effects have been shown in many perceptual tasks, their existence and nature in temporal processing is unclear. Here, we investigated whether and how previous stimuli and previous choices affect subsequent duration perception, in vision and audition. In a series of three experiments, participants were asked to classify visual or auditory stimuli into ‘shorter’ or ‘longer’ duration categories. In Experiment 1, visual and auditory stimuli were presented in separate blocks. Results showed that current duration estimates were repelled away from the previous trial’s stimulus duration, but attracted towards the previous choice, in both vision and audition. In Experiment 2, visual and auditory stimuli were pseudorandomly presented in one block. We found that sensory and decisional carryover effects occurred only when previous and current stimuli were from same modality. Experiment 3 further investigated the stimulus-dependence of carryover effects within each modality. In this experiment, visual stimuli with different shape topologies (or auditory stimuli with different audio frequencies) were pseudorandomly presented in one visual (or auditory) block. Results demonstrated sensory carryover (within each modality) despite task-irrelevant differences in visual shape topology or audio frequency. By contrast, decisional carryover was reduced (but still present) across different visual topologies, and completely absent across different audio frequencies. These results suggest that serial dependence in duration perception is modality specific. Moreover, repulsive sensory carryover effects generalize within each modality, whereas attractive decisional carryover effects are contingent on contextual details.","The brain uses recent history when forming perceptual decisions. This results in carryover effects in perception. Although separate sensory and decisional carryover effects have been shown in many perceptual tasks, their existence and nature in temporal processing is unclear. Here, we investigated whether and how previous stimuli and previous choices affect subsequent duration perception, in vision and audition. In a series of three experiments, participants were asked to classify visual or auditory stimuli into ‘shorter’ or ‘longer’ duration categories. In Experiment 1, visual and auditory stimuli were presented in separate blocks. Results showed that current duration estimates were repelled away from the previous trial’s stimulus duration, but attracted towards the previous choice, in both vision and audition. In Experiment 2, visual and auditory stimuli were pseudorandomly presented in one block. We found that sensory and decisional carryover effects occurred only when previous and current stimuli were from same modality. Experiment 3 further investigated the stimulus-dependence of carryover effects within each modality. In this experiment, visual stimuli with different shape topologies (or auditory stimuli with different audio frequencies) were pseudorandomly presented in one visual (or auditory) block. Results demonstrated sensory carryover (within each modality) despite task-irrelevant differences in visual shape topology or audio frequency. By contrast, decisional carryover was reduced (but still present) across different visual topologies, and completely absent across different audio frequencies. These results suggest that serial dependence in duration perception is modality specific. Moreover, repulsive sensory carryover effects generalize within each modality, whereas attractive decisional carryover effects are contingent on contextual details.",10.31234/osf.io/27wxv,https://doi.org/10.31234/osf.io/27wxv,crossref,sensory modality,5
10.31234/osf.io/rm3ug,Sensory modality defines the relation between EEG Lempel-Ziv diversity and meaningfulness of a stimulus,2022.0,crossref,"Diversity of brain activity is a robust neural correlate of global states of consciousness. It has been proposed that diversity measures specifically reflect the temporal variability of conscious experience. Previous studies supported this hypothesis by showing that perception of meaningful visual stimuli causes richer, more-variable experiences than perception of meaningless stimuli, and this is reflected in greater brain signal diversity. To investigate whether this relation is consistent across sensory modalities, to participants we presented three versions of naturalistic visual and auditory stimuli (videos and audiobooks) that varied in the amount of meaning (original, scrambled, and noise), while recording electroencephalographic signals. We report three main findings. First, greater meaningfulness of visual stimuli was related to higher Lempel-Ziv diversity of EEG signals, but the opposite effect was found in the auditory modality. Second, visual perception was related to generally higher EEG diversity than auditory perception. Third, perception of meaningful visual stimuli and auditory stimuli respectively resulted in higher and lower EEG diversity in comparison to the resting state. In conclusion, the signal diversity of continuous brain signals depends on the stimulated sensory modality, therefore it is not a generic index of the variability of conscious experience.","Diversity of brain activity is a robust neural correlate of global states of consciousness. It has been proposed that diversity measures specifically reflect the temporal variability of conscious experience. Previous studies supported this hypothesis by showing that perception of meaningful visual stimuli causes richer, more-variable experiences than perception of meaningless stimuli, and this is reflected in greater brain signal diversity. To investigate whether this relation is consistent across sensory modalities, to participants we presented three versions of naturalistic visual and auditory stimuli (videos and audiobooks) that varied in the amount of meaning (original, scrambled, and noise), while recording electroencephalographic signals. We report three main findings. First, greater meaningfulness of visual stimuli was related to higher Lempel-Ziv diversity of EEG signals, but the opposite effect was found in the auditory modality. Second, visual perception was related to generally higher EEG diversity than auditory perception. Third, perception of meaningful visual stimuli and auditory stimuli respectively resulted in higher and lower EEG diversity in comparison to the resting state. In conclusion, the signal diversity of continuous brain signals depends on the stimulated sensory modality, therefore it is not a generic index of the variability of conscious experience.",10.31234/osf.io/rm3ug,https://doi.org/10.31234/osf.io/rm3ug,crossref,sensory modality,5
10.1163/22134808-20201471,Identity-Based Crossmodal Negative Priming: Aftereffects of Ignoring in One Sensory Modality on Responding to Another Sensory Modality,2020.0,Multisensory Research,"Negative Priming (NP) refers to the phenomenon that responses towards previously ignored stimuli, as compared to new stimuli, are impaired. That is, NP is reflected in the performance on the probe display of a prime–probe sequence. NP is established in vision, audition and touch. In the current study, we presented participants with auditory, visual, and tactile manifestations of the same temporal patterns in order to measure NP across the senses. On each trial, the sensory modality shifted from the prime to the probe. Each prime and probe display consisted of a target and a distractor stimulus, presented to the same sensory modality. On some trials, the prime distractor repeated as probe target (ignored-repetition trials), on other trials the probe stimuli had not been involved in the prime display (control trials). We observed NP between audition and touch (Experiment 1) and between vision and audition (Experiment 2). These findings indicate that the processes underpinning NP can operate at an amodal, postperceptual level.","Negative Priming (NP) refers to the phenomenon that responses towards previously ignored stimuli, as compared to new stimuli, are impaired. That is, NP is reflected in the performance on the probe display of a prime–probe sequence. NP is established in vision, audition and touch. In the current study, we presented participants with auditory, visual, and tactile manifestations of the same temporal patterns in order to measure NP across the senses. On each trial, the sensory modality shifted from the prime to the probe. Each prime and probe display consisted of a target and a distractor stimulus, presented to the same sensory modality. On some trials, the prime distractor repeated as probe target (ignored-repetition trials), on other trials the probe stimuli had not been involved in the prime display (control trials). We observed NP between audition and touch (Experiment 1) and between vision and audition (Experiment 2). These findings indicate that the processes underpinning NP can operate at an amodal, postperceptual level.",10.1163/22134808-20201471,https://doi.org/10.1163/22134808-20201471,crossref,sensory modality,5
10.1101/2020.08.28.272633,The relationship between multisensory associative learning and multisensory integration,2020.0,crossref,"Our perception of the world around us is inherently multisensory, and integrating sensory information from multiple modalities leads to more precise and efficient perception and behaviour. Determining which sensory information from different modalities should be perceptually bound is a key component of multisensory integration. To accomplish this feat, our sensory systems rely on both low-level stimulus features, as well as multisensory associations learned throughout development based on the statistics of our environment. The present study explored the relationship between multisensory associative learning and multisensory integration using encephalography (EEG) and behavioural measures. Sixty-one participants completed a three-phase study. First, participants were exposed to novel pairings audiovisual shape-tone pairings with frequent and infrequent stimulus pairings and complete a target detection task. EEG recordings of the mismatch negativity (MMN) and P3 were calculated as neural indices of multisensory associative learning. Next, the same learned stimulus pairs presented in audiovisual as well as unisensory auditory and visual modalities while both early (","Our perception of the world around us is inherently multisensory, and integrating sensory information from multiple modalities leads to more precise and efficient perception and behaviour. Determining which sensory information from different modalities should be perceptually bound is a key component of multisensory integration. To accomplish this feat, our sensory systems rely on both low-level stimulus features, as well as multisensory associations learned throughout development based on the statistics of our environment. The present study explored the relationship between multisensory associative learning and multisensory integration using encephalography (EEG) and behavioural measures. Sixty-one participants completed a three-phase study. First, participants were exposed to novel pairings audiovisual shape-tone pairings with frequent and infrequent stimulus pairings and complete a target detection task. EEG recordings of the mismatch negativity (MMN) and P3 were calculated as neural indices of multisensory associative learning. Next, the same learned stimulus pairs presented in audiovisual as well as unisensory auditory and visual modalities while both early (",10.1101/2020.08.28.272633,https://doi.org/10.1101/2020.08.28.272633,crossref,multisensory integration,5
10.1163/22134808-00002570,Multisensory Integration in Migraine: Recent Developments,2017.0,Multisensory Research,"There are well-documented unimodal sensory differences in migraine compared to control groups both during, and between migraine attacks. There is also some evidence of multisensory integration differences in migraine groups compared to control groups, however the literature on this topic is more limited. There are interesting avenues in the area of visual–vestibular integration, which might have practical implications, e.g., motion sickness and nausea in migraine. Recent work has been investigating the possibility of visual–auditory integration in migraine, and found possible differences in the susceptibility to the sound-induced flash illusion in particular, which could give insights into relative excitability of different areas of the cortex, and also into mechanisms for the illusions themselves. This review updates the most recent literature and also highlights potentially fruitful areas of research to understand one of the most common neurological disorders.","There are well-documented unimodal sensory differences in migraine compared to control groups both during, and between migraine attacks. There is also some evidence of multisensory integration differences in migraine groups compared to control groups, however the literature on this topic is more limited. There are interesting avenues in the area of visual–vestibular integration, which might have practical implications, e.g., motion sickness and nausea in migraine. Recent work has been investigating the possibility of visual–auditory integration in migraine, and found possible differences in the susceptibility to the sound-induced flash illusion in particular, which could give insights into relative excitability of different areas of the cortex, and also into mechanisms for the illusions themselves. This review updates the most recent literature and also highlights potentially fruitful areas of research to understand one of the most common neurological disorders.",10.1163/22134808-00002570,https://doi.org/10.1163/22134808-00002570,crossref,multisensory integration,5
10.1068/p5692,Change of Temporal-Order Judgment of Sounds during Long-Lasting Exposure to Large-Field Visual Motion,2008.0,Perception,"The perceived temporal order of external successive events does not always follow their physical temporal order. We examined the contribution of self-motion mechanisms in the perception of temporal order in the auditory modality. We measured perceptual biases in the judgment of the temporal order of two short sounds presented successively, while participants experienced visually induced self-motion (yaw-axis circular vection) elicited by viewing long-lasting large-field visual motion. In experiment 1, a pair of white-noise patterns was presented to participants at various stimulus-onset asynchronies through headphones, while they experienced visually induced self-motion. Perceived temporal order of auditory events was modulated by the direction of the visual motion (or self-motion). Specifically, the sound presented to the ear in the direction opposite to the visual motion (ie heading direction) was perceived prior to the sound presented to the ear in the same direction. Experiments 2A and 2B were designed to reduce the contributions of decisional and/or response processes. In experiment 2A, the directional cueing of the background (left or right) and the response dimension (high pitch or low pitch) were not spatially associated. In experiment 2B, participants were additionally asked to report which of the two sounds was perceived ‘second’. Almost the same results as in experiment 1 were observed, suggesting that the change in temporal order of auditory events during large-field visual motion reflects a change in perceptual processing. Experiment 3 showed that the biases in the temporal-order judgments of auditory events were caused by concurrent actual self-motion with a rotatory chair. In experiment 4, using a small display, we showed that ‘pure’ long exposure to visual motion without the sensation of self-motion was not responsible for this phenomenon. These results are consistent with previous studies reporting a change in the perceived temporal order of visual or tactile events depending on the direction of self-motion. Hence, large-field induced (ie optic flow) self-motion can affect the temporal order of successive external events across various modalities.","The perceived temporal order of external successive events does not always follow their physical temporal order. We examined the contribution of self-motion mechanisms in the perception of temporal order in the auditory modality. We measured perceptual biases in the judgment of the temporal order of two short sounds presented successively, while participants experienced visually induced self-motion (yaw-axis circular vection) elicited by viewing long-lasting large-field visual motion. In experiment 1, a pair of white-noise patterns was presented to participants at various stimulus-onset asynchronies through headphones, while they experienced visually induced self-motion. Perceived temporal order of auditory events was modulated by the direction of the visual motion (or self-motion). Specifically, the sound presented to the ear in the direction opposite to the visual motion (ie heading direction) was perceived prior to the sound presented to the ear in the same direction. Experiments 2A and 2B were designed to reduce the contributions of decisional and/or response processes. In experiment 2A, the directional cueing of the background (left or right) and the response dimension (high pitch or low pitch) were not spatially associated. In experiment 2B, participants were additionally asked to report which of the two sounds was perceived ‘second’. Almost the same results as in experiment 1 were observed, suggesting that the change in temporal order of auditory events during large-field visual motion reflects a change in perceptual processing. Experiment 3 showed that the biases in the temporal-order judgments of auditory events were caused by concurrent actual self-motion with a rotatory chair. In experiment 4, using a small display, we showed that ‘pure’ long exposure to visual motion without the sensation of self-motion was not responsible for this phenomenon. These results are consistent with previous studies reporting a change in the perceived temporal order of visual or tactile events depending on the direction of self-motion. Hence, large-field induced (ie optic flow) self-motion can affect the temporal order of successive external events across various modalities.",10.1068/p5692,https://doi.org/10.1068/p5692,crossref,Temporal Field Perception,5
10.26686/wgtn.17136149,Awareness and Integration: Understanding the Challenges of Inferring Multisensory Integration Outside of Awareness,,crossref,"Multisensory integration describes the cognitive processes by which information from various perceptual domains is combined to create coherent percepts. For consciously aware perception, multisensory integration can be inferred when information in one perceptual domain influences subjective experience in another. Yet the relationship between integration and awareness is not well understood. One current question is whether multisensory integration can occur in the absence of perceptual awareness. Because there is subjective experience for unconscious perception, researchers have had to develop novel tasks to infer integration indirectly. For instance, Palmer and Ramsey (2012) presented auditory recordings of spoken syllables alongside videos of faces speaking either the same or different syllables, while masking the videos to prevent visual awareness. The conjunction of matching voices and faces predicted the location of a subsequent Gabor grating (target) on each trial. Participants indicated the location/orientation of the target more accurately when it appeared in the cued location (80% chance), thus the authors inferred that auditory and visual speech events were integrated in the absence of visual awareness. In this thesis, I investigated whether these findings generalise to the integration of auditory and visual expressions of emotion. In Experiment 1, I presented spatially informative cues in which congruent facial and vocal emotional expressions predicted the target location, with and without visual masking. I found no evidence of spatial cueing in either awareness condition. To investigate the lack of spatial cueing, in Experiment 2, I repeated the task with aware participants only, and had half of those participants explicitly report the emotional prosody. A significant spatial-cueing effect was found only when participants reported emotional prosody, suggesting that audiovisual congruence can cue spatial attention during aware perception. It remains unclear whether audiovisual congruence can cue spatial attention without awareness, and whether such effects genuinely imply multisensory integration.","Multisensory integration describes the cognitive processes by which information from various perceptual domains is combined to create coherent percepts. For consciously aware perception, multisensory integration can be inferred when information in one perceptual domain influences subjective experience in another. Yet the relationship between integration and awareness is not well understood. One current question is whether multisensory integration can occur in the absence of perceptual awareness. Because there is subjective experience for unconscious perception, researchers have had to develop novel tasks to infer integration indirectly. For instance, Palmer and Ramsey (2012) presented auditory recordings of spoken syllables alongside videos of faces speaking either the same or different syllables, while masking the videos to prevent visual awareness. The conjunction of matching voices and faces predicted the location of a subsequent Gabor grating (target) on each trial. Participants indicated the location/orientation of the target more accurately when it appeared in the cued location (80% chance), thus the authors inferred that auditory and visual speech events were integrated in the absence of visual awareness. In this thesis, I investigated whether these findings generalise to the integration of auditory and visual expressions of emotion. In Experiment 1, I presented spatially informative cues in which congruent facial and vocal emotional expressions predicted the target location, with and without visual masking. I found no evidence of spatial cueing in either awareness condition. To investigate the lack of spatial cueing, in Experiment 2, I repeated the task with aware participants only, and had half of those participants explicitly report the emotional prosody. A significant spatial-cueing effect was found only when participants reported emotional prosody, suggesting that audiovisual congruence can cue spatial attention during aware perception. It remains unclear whether audiovisual congruence can cue spatial attention without awareness, and whether such effects genuinely imply multisensory integration.",10.26686/wgtn.17136149,https://doi.org/10.26686/wgtn.17136149,crossref,multisensory integration,5
